instrument.name;measurement.date;measurement.id;waterquality.tsm;waterquality.chla;waterquality.kd;waterquality.cpc
WISPstation007;2018-08-09 11:53:45.150695;91223;16.4;44.6;2.1;82.8
WISPstation007;2018-08-09 12:00:05.682082;91228;16.4;45.0;2.1;84.6
WISPstation007;2018-08-09 12:15:04.822839;91237;16.6;44.2;2.1;83.7
WISPstation007;2018-08-09 12:30:04.799890;91246;16.7;47.9;2.0;85.1
WISPstation007;2018-08-09 12:45:05.809856;91252;16.9;47.9;2.1;85.3
WISPstation007;2018-08-09 13:00:05.741411;91262;17.4;46.7;2.1;86.5
WISPstation007;2018-08-09 13:15:04.830361;91269;17.4;48.5;2.1;86.8
WISPstation007;2018-08-09 13:30:04.776974;91277;17.6;48.7;2.1;88.5
WISPstation007;2018-08-09 13:45:05.698236;91285;17.5;44.9;2.3;83.1
WISPstation007;2018-08-09 14:00:05.670036;91293;16.6;45.6;2.2;85.3
WISPstation007;2018-08-09 14:15:06.325618;91300;16.6;45.8;2.2;86.6
WISPstation007;2018-08-09 14:30:04.786375;91310;15.9;43.9;2.2;82.4
WISPstation007;2018-08-09 14:45:04.943244;91317;13.1;44.4;2.0;78.7
WISPstation007;2018-08-09 15:00:04.890803;91325;30.0;59.0;2.8;115.2
WISPstation007;2018-08-09 15:15:05.712822;91332;17.5;48.5;2.2;90.8
WISPstation007;2018-08-09 15:30:04.852230;91341;17.8;48.5;2.2;90.5
WISPstation007;2018-08-09 15:45:04.781496;91345;12.2;41.6;1.8;72.1
WISPstation007;2018-08-09 16:00:05.168322;91357;16.0;48.6;2.0;87.4
WISPstation007;2018-08-09 16:15:04.856606;91365;26.8;59.2;2.8;119.7
WISPstation007;2018-08-09 16:30:04.918689;91368;20.1;52.1;2.3;96.1
WISPstation007;2018-08-09 16:45:05.319261;91379;20.1;54.2;2.3;98.8
WISPstation007;2018-08-09 17:00:05.316168;91388;20.6;56.1;2.3;104.2
WISPstation007;2018-08-10 04:00:05.431845;91448;22.5;51.5;2.9;101.4
WISPstation007;2018-08-10 05:00:05.362640;91456;23.3;46.7;3.0;95.3
WISPstation007;2018-08-10 05:15:05.714601;91461;22.0;48.8;2.7;96.3
WISPstation007;2018-08-10 05:30:04.837693;91465;21.3;50.6;2.6;97.2
WISPstation007;2018-08-10 05:45:05.281263;91470;22.2;49.6;2.7;97.2
WISPstation007;2018-08-10 06:00:05.393891;91475;22.3;50.1;2.7;98.5
WISPstation007;2018-08-10 06:15:05.225513;91482;None;None;0.1;44.8
WISPstation007;2018-08-10 06:30:05.276522;91491;22.8;50.3;2.7;97.6
WISPstation007;2018-08-10 06:45:05.224500;91502;17.9;59.4;1.9;83.2
WISPstation007;2018-08-10 07:00:04.772856;91505;22.1;48.1;2.7;95.7
WISPstation007;2018-08-10 07:15:05.269350;91515;23.5;48.2;2.9;100.9
WISPstation007;2018-08-10 07:30:05.181848;91525;23.7;50.5;3.0;102.7
WISPstation007;2018-08-10 07:45:04.894193;91533;22.4;52.6;2.7;103.7
WISPstation007;2018-08-10 08:00:05.689445;91541;21.2;50.2;2.7;98.2
WISPstation007;2018-08-10 08:15:05.722355;91548;22.5;50.9;2.7;97.9
WISPstation007;2018-08-10 08:30:05.216119;91556;20.1;51.6;2.5;100.9
WISPstation007;2018-08-10 08:45:04.803284;91565;20.4;51.9;2.5;97.0
WISPstation007;2018-08-10 09:00:04.774886;91573;20.2;50.7;2.5;95.8
WISPstation007;2018-08-10 09:15:05.680646;91581;16.9;46.3;2.3;87.3
WISPstation007;2018-08-10 09:30:04.834943;91589;19.6;51.4;2.5;94.9
WISPstation007;2018-08-10 09:45:04.826632;91597;19.0;53.4;2.4;97.5
WISPstation007;2018-08-10 10:00:04.838987;91605;18.8;53.8;2.4;97.8
WISPstation007;2018-08-10 10:15:05.705618;91613;18.5;52.0;2.4;95.3
WISPstation007;2018-08-10 10:30:04.860610;91621;18.3;52.2;2.4;98.0
WISPstation007;2018-08-10 10:45:04.912018;91629;17.9;51.4;2.3;96.8
WISPstation007;2018-08-10 11:00:04.837993;91637;17.9;52.6;2.4;98.9
WISPstation007;2018-08-10 11:15:04.915350;91645;17.9;52.5;2.4;99.7
WISPstation007;2018-08-10 11:30:05.793017;91653;17.5;52.0;2.4;100.0
WISPstation007;2018-08-10 11:45:05.782786;91661;18.6;53.0;2.4;100.8
WISPstation007;2018-08-10 12:00:04.941251;91670;19.9;53.5;2.4;102.9
WISPstation007;2018-08-10 12:15:05.732079;91677;22.4;51.5;2.7;101.3
WISPstation007;2018-08-10 12:30:04.809034;91685;20.1;52.2;2.5;98.3
WISPstation007;2018-08-10 12:45:05.719434;91694;24.4;49.2;3.1;103.2
WISPstation007;2018-08-10 13:00:04.797605;91702;21.1;50.8;2.4;92.1
WISPstation007;2018-08-10 13:15:05.723202;91707;21.4;47.0;2.7;94.0
WISPstation007;2018-08-10 13:30:05.345556;91717;17.4;42.9;2.2;82.6
WISPstation007;2018-08-10 13:45:04.782014;91726;20.4;43.0;2.7;86.8
WISPstation007;2018-08-10 14:00:04.855865;91731;20.7;41.6;2.7;82.0
WISPstation007;2018-08-10 15:15:04.836666;91774;22.0;26.7;2.4;47.3
WISPstation007;2018-08-10 15:30:04.870016;91781;15.9;25.9;1.8;45.2
WISPstation007;2018-08-10 15:45:04.818550;91789;14.6;19.3;1.7;30.9
WISPstation007;2018-08-10 16:00:05.266549;91797;12.0;17.3;1.4;28.6
WISPstation007;2018-08-10 16:15:05.272878;91803;13.1;18.4;1.4;28.3
WISPstation007;2018-08-10 16:30:05.270991;91808;13.1;25.6;1.4;43.2
WISPstation007;2018-08-10 16:45:05.175334;91817;12.8;23.2;1.5;39.7
WISPstation007;2018-08-10 17:00:05.720942;91826;12.4;20.0;1.5;36.3
WISPstation007;2018-08-11 04:00:05.051893;91889;18.4;40.6;2.4;92.9
WISPstation007;2018-08-11 05:00:05.004931;91894;25.0;51.3;2.3;106.7
WISPstation007;2018-08-11 05:15:05.129930;91901;21.5;47.6;2.1;96.3
WISPstation007;2018-08-11 05:30:05.351607;91906;19.2;43.1;2.1;88.6
WISPstation007;2018-08-11 05:45:05.750352;91911;18.7;43.9;2.1;86.4
WISPstation007;2018-08-11 06:00:05.636182;91918;18.7;40.7;2.4;84.5
WISPstation007;2018-08-11 06:15:05.660250;91922;18.1;39.3;2.3;81.7
WISPstation007;2018-08-11 06:30:05.062213;91931;17.3;39.6;2.2;82.5
WISPstation007;2018-08-11 06:45:05.277691;91941;18.9;41.5;2.5;89.8
WISPstation007;2018-08-11 07:00:05.322853;91950;19.5;42.5;2.6;93.8
WISPstation007;2018-08-11 07:15:04.866189;91956;18.7;38.8;2.5;85.3
WISPstation007;2018-08-11 07:30:05.776521;91965;16.3;44.0;2.0;87.0
WISPstation007;2018-08-11 07:45:04.819874;91974;16.7;42.3;2.1;85.1
WISPstation007;2018-08-11 08:00:05.735962;91981;17.3;37.6;2.3;79.5
WISPstation007;2018-08-11 08:15:04.795758;91989;17.3;39.0;2.3;80.8
WISPstation007;2018-08-11 08:30:05.655644;91997;18.3;39.7;2.4;83.2
WISPstation007;2018-08-11 08:45:04.800077;92006;17.9;39.1;2.3;83.2
WISPstation007;2018-08-11 09:00:04.887026;92013;19.4;38.4;2.6;81.9
WISPstation007;2018-08-11 09:15:04.868066;92020;17.9;41.0;2.3;85.2
WISPstation007;2018-08-11 09:30:05.705324;92030;19.8;39.0;2.6;80.9
WISPstation007;2018-08-11 09:45:05.721708;92037;19.1;39.6;2.6;79.3
WISPstation007;2018-08-11 10:00:04.794511;92046;18.7;40.8;2.6;85.7
WISPstation007;2018-08-11 10:15:04.802806;92054;18.4;39.5;2.6;86.7
WISPstation007;2018-08-11 10:30:04.884282;92059;18.1;41.2;2.5;87.4
WISPstation007;2018-08-11 10:45:05.139951;92069;17.8;40.1;2.5;84.6
WISPstation007;2018-08-11 11:00:05.781600;92074;17.6;38.2;2.5;81.6
WISPstation007;2018-08-11 11:15:05.879867;92082;18.3;36.4;2.6;78.7
WISPstation007;2018-08-11 11:30:05.192448;92090;17.0;38.1;2.3;79.4
WISPstation007;2018-08-11 11:45:05.915194;92101;17.9;37.8;2.4;78.8
WISPstation007;2018-08-11 12:00:05.694410;92106;17.5;36.3;2.4;76.0
WISPstation007;2018-08-11 12:15:04.865727;92118;17.5;37.5;2.3;78.2
WISPstation007;2018-08-11 12:30:04.879269;92122;17.7;35.6;2.5;76.0
WISPstation007;2018-08-11 12:45:05.159576;92130;17.9;34.2;2.4;69.8
WISPstation007;2018-08-11 13:00:05.246300;92142;18.6;38.3;2.3;75.3
WISPstation007;2018-08-11 13:15:04.860349;92146;17.0;37.1;2.1;76.7
WISPstation007;2018-08-11 13:30:05.345828;92152;20.9;34.0;2.7;72.3
WISPstation007;2018-08-11 13:45:05.308118;92163;16.8;36.5;2.1;70.4
WISPstation007;2018-08-11 14:00:04.976466;92167;17.2;35.7;2.3;74.4
WISPstation007;2018-08-11 14:15:05.276856;92182;20.7;33.9;2.9;75.6
WISPstation007;2018-08-11 14:30:04.806398;92189;18.4;35.7;2.6;75.9
WISPstation007;2018-08-11 14:45:05.716627;92197;17.3;36.7;2.5;78.2
